trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.9003245225862656, 'e': 0.3499377491111553}",20,0,-18.879756291711214,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
106,False,"{'a': 0.899424648075924, 'e': 0.34645581033005746}",20,6,6.119022468098557,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.8985256729903055, 'e': 0.3430085174187067}",20,0,-71.02304906966303,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
108,False,"{'a': 0.8976275964304349, 'e': 0.33959552564493917}",30,0,19.58405684188611,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.8967304174982355, 'e': 0.33621649370673334}",25,15,-43.20090726636525,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
110,False,"{'a': 0.8958341352965282, 'e': 0.33287108369807955}",20,0,8.211226778506315,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.894938748929031, 'e': 0.32955896107518906}",20,7,13.342851416319395,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8940442575003572, 'e': 0.32627979462303947}",20,0,-18.668480592877327,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
113,False,"{'a': 0.8931506601160155, 'e': 0.3230332564222529}",20,0,-42.00849230519768,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
114,False,"{'a': 0.8922579558824083, 'e': 0.3198190218163039}",25,0,9.38123367804894,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.8913661439068313, 'e': 0.3166367693790532}",20,0,-10.482279324417718,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.8904752232974726, 'e': 0.3134861808826054}",25,8,-67.82374887292525,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
117,False,"{'a': 0.8895851931634113, 'e': 0.31036694126548503}",30,8,-20.21502410589565,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.8886960526146174, 'e': 0.30727873860113125}",20,8,22.027077909673388,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.8878078007619501, 'e': 0.3042212640667041}",25,1,-12.612358477479955,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.8869204367171575, 'e': 0.30119421191220214}",30,15,6.954172973087098,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.8860339595928756, 'e': 0.2981972794298874}",30,20,-67.70148879809962,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
122,False,"{'a': 0.8851483685026271, 'e': 0.2952301669240142}",20,12,-27.604802906604764,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.8842636625608209, 'e': 0.2922925776808594}",20,5,26.140032918786876,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.8833798408827509, 'e': 0.28938421793905067}",20,0,30.107812186528555,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.8824969025845955, 'e': 0.28650479686019015}",25,0,-34.08579471687061,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
126,False,"{'a': 0.8816148467834161, 'e': 0.2836540264997704}",20,10,16.564396981124833,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.880733672597157, 'e': 0.2808316217783798}",20,0,-9.35087987845471,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
128,False,"{'a': 0.8798533791446438, 'e': 0.27803730045319414}",20,9,-4.8490563915843925,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.8789739655455832, 'e': 0.27527078308975234}",25,7,-39.72379748665822,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.8780954309205613, 'e': 0.2725317930340126}",20,7,-7.772340668726792,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.8772177743910435, 'e': 0.26982005638468687}",20,0,-33.93480938994245,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
132,False,"{'a': 0.8763409950793732, 'e': 0.2671353019658504}",20,10,-34.66191610257586,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.8754650921087711, 'e': 0.26447726129982396}",25,11,-51.314642660276235,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
134,False,"{'a': 0.874590064603334, 'e': 0.261845668580326}",25,0,8.872164603933088,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.8737159116880344, 'e': 0.2592402606458915}",35,22,13.790074383361233,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.8728426324887193, 'e': 0.2566607769535559}",30,13,-22.580717930871582,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
137,False,"{'a': 0.8719702261321094, 'e': 0.25410695955280027}",20,0,-5.607853027608547,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.8710986917457983, 'e': 0.2515785530597565}",20,0,-13.13060986467105,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
139,False,"{'a': 0.8702280284582515, 'e': 0.2490753046316682}",20,6,7.876360855308183,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.8693582353988059, 'e': 0.24659696394160646}",20,16,8.994338549124727,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.8684893116976679, 'e': 0.2441432831534371}",20,7,12.680508552540424,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.867621256485914, 'e': 0.24171401689703648}",20,1,-43.84383735765643,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 1}",1
143,False,"{'a': 0.866754068895489, 'e': 0.23930892224375455}",20,6,-5.20049691076792,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
